OperationType,Date,GSM ID,User Name
close,2020-07-10T12:00:52.581351,57,Marcel
close,2020-07-10T11:31:51.868754,57,Marcel
open,2020-07-10T12:31:49.081443,57,Marcel
open,2020-07-10T11:52:16.350199,57,Marcel
close,2020-07-10T12:49:55.496362,60,Marcel
close,2020-07-10T12:55:43.885726,57,Marcel
open,2020-07-10T11:59:58.221402,57,Marcel
open,2020-07-12T11:46:05.216310,129,Marcel
close,2020-07-12T11:27:09.859918,57,Marcel
open,2020-07-10T12:55:57.338838,57,Marcel
open,2020-07-12T10:31:23.923345,57,Marcel
open,2020-07-10T12:55:57.997041,57,Marcel
open,2020-07-10T11:52:11.799780,57,Marcel
open,2020-07-11T22:26:40.141003,57,Marcel
open,2020-07-10T12:16:37.679008,60,Marcel
open,2020-07-12T10:19:09.089613,57,Marcel
close,2020-07-10T12:55:31.157780,60,Marcel
close,2020-07-12T11:45:20.254554,60,Marcel
close,2020-07-10T14:16:26.148612,163,Marcel
close,2020-07-12T10:23:54.874256,129,Marcel
close,2020-07-10T10:25:21.537778,57,Marcel
open,2020-07-10T10:25:23.179846,57,Marcel
close,2020-07-10T11:52:15.862511,57,Marcel
